"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ref_id_arm2_err,screenlog,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the record must be assigned to a data access group/site and the Reference Number must follow the correct format, e.g.: SL-01-Jan2026.</h5> </div> ",,,,,,,"[record-dag-name] = '' and [ref_id_arm2_valid] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm2_err_nodag,screenlog,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the record must be assigned to a data access group/site.</h5> </div> ",,,,,,,"[record-dag-name] = '' and [ref_id_arm2_valid] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm2_err_format,screenlog,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the Reference Number does not follow the correct format, e.g.: SL-[ref_id_arm2_dag_pfx]-Jan2026.</h5> </div> 
<h5 style=""text-align:center;"">Please try again with a valid Reference Number, which will be:</h5> <table style=""width: 100%; height: 75.2778px; background-color: #ffffff; border-style: none; border-image: initial; margin-left: auto; margin-right: auto;"" border=""0""> <colgroup> <col style=""width: 45.5%;""> <col style=""width: 9%;""> <col style=""width: 45.5%;""> </colgroup> <tbody> <tr style=""height: 32.6389px;""> <td style=""text-align: right; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">SL-[ref_id_arm2_dag_pfx]</h5> </td> <td style=""text-align: center; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">-</h5> </td> <td style=""text-align: left; padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h5 style=""font-weight: 900;"">Mon####</h5> </td> </tr> <tr style=""height: 42.6389px;""> <td style=""text-align: right; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px;""> <h6 style=""font-weight: normal;""> <em>'SL-', followed by number prefix for the record's data access group, [arm2_site_shortlabel]</em> </h6> </td> <td style=""text-align: center; border-right: 1px dashed  rgb(186, 55, 42); padding: 3px;""> <h6 style=""font-weight: normal;""> <em>A dash</em> </h6> </td> <td style=""text-align: left; padding: 3px;""> <h6 style=""font-weight: normal;""> <em>Month/year of the screening log - Month formatted as 3 letters with first letter capitalized. Year as 4-digit year.</em> </h6> </td> </tr> </tbody> </table> 
<h5 style=""text-align:center;"">Valid Reference Number builder:</h5> <table style=""height: 99.4445px; background-color: #ffffff; border-style: none; border-image: initial; margin-left: auto; margin-right: auto;"" border=""0""> <tbody> <tr style=""height: 24.8611px;""> <td style=""text-align: right; padding: 3px;border-right: 1px dashed  rgb(186, 55, 42); border-bottom: 2px dashed rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">Select the month:</h6>  </td> <td style=""text-align: left; padding: 3px; border-bottom: 2px dashed rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">{ref_id_arm2_builder_mo}</h6> </td> </tr><tr style=""height: 24.8611px;""> <td style=""text-align: right; padding: 3px;border-right: 1px dashed  rgb(186, 55, 42); border-bottom: 2px solid rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">Select the year:</h6> </h6> </td> <td style=""text-align: left; padding: 3px; border-bottom: 2px solid rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">{ref_id_arm2_builder_yr}</h6> </td> </tr> <tr style=""height: 24.8611px;""> <td style=""text-align: right; padding: 3px;border-right: 1px dashed  rgb(186, 55, 42);""> <h6 style=""font-weight: 900;"">Result:</h6> <h6 style=""margin-top: 0px; font-weight: normal;""> <em>Use this when creating a new record</em> </h6> </td> <td style=""text-align: left; padding: 3px;""> <h6 style=""font-weight: 900;"">{ref_id_arm2_builder_rslt}</h6> </td> </tr> </tbody> </table>",,,,,,,"[record-dag-name] <> '' and [ref_id_arm2_valid] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm2_builder_mo,screenlog,,dropdown,Month,"Jan, Jan | Feb, Feb | Mar, Mar | Apr, Apr | May, May | Jun, Jun | Jul, Jul | Aug, Aug | Sep, Sep | Oct, Oct | Nov, Nov | Dec, Dec",,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm2_builder_yr,screenlog,,dropdown,Year,"2025, 2025 | 2026, 2026 | 2027, 2027 | 2028, 2028 | 2029, 2029 | 2030, 2030 | 2031, 2031 | 2032, 2032 | 2033, 2033 | 2034, 2034",,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm2_builder_rslt,screenlog,,text,Result,,,,,,,,,,,,,"Derived
Miscellaneous
@HIDDEN-PDF @CALCTEXT(
if(
    [ref_id_arm2_builder_mo] <> '' and [ref_id_arm2_builder_yr] <> '',
    concat(
        'SL-',
        [ref_id_arm2_dag_pfx], 
        '-', 
        [ref_id_arm2_builder_mo],
        [ref_id_arm2_builder_yr]
    
    ),
    '')
)"
screenlog_version,screenlog,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Data Management
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
screenlog_app_lasteditedby,screenlog,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
screenlog_title,screenlog,,descriptive,"<h2 class=""h4"" style=""text-align: center; text-transform: capitalize;"">Screening Log - [screenlog_month] [screenlog_year]</h2>",,,,,,,"[ref_id_arm2_valid] = '1'",,,,,,"Miscellaneous
@HIDDEN-PDF"
screenlog_month,screenlog,,dropdown,Month:,"1, Jan | 2, Feb | 3, Mar | 4, Apr | 5, May | 6, Jun | 7, Jul | 8, Aug | 9, Sep | 10, Oct | 11, Nov | 12, Dec",,,,,,,y,,,,,"Data Management
@NOMISSING
@READONLY @SETVALUE='[ref_id_arm2_mo]' @HIDDEN"
screenlog_year,screenlog,,dropdown,Year:,"2025, 2025 | 2026, 2026 | 2027, 2027 | 2028, 2028 | 2029, 2029 | 2030, 2030 | 2031, 2031 | 2032, 2032 | 2033, 2033 | 2034, 2034",,,,,,,y,,,,,"Data Management
@NOMISSING
@READONLY @SETVALUE='[ref_id_arm2_yr]' @HIDDEN"
screenlog_screen_name,screenlog,,text,"Calculated field for field name",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(if([screenlog_month] <> '' and [screenlog_year] <> '', 
if(right([record-name],4) = [screenlog_year] and 
(
(mid([record-name],7,3) = 'Jan' and [screenlog_month] = 1) or 
(mid([record-name],7,3) = 'Feb' and [screenlog_month] = 2) or 
(mid([record-name],7,3) = 'Mar' and [screenlog_month] = 3) or 
(mid([record-name],7,3) = 'Apr' and [screenlog_month] = 4) or 
(mid([record-name],7,3) = 'May' and [screenlog_month] = 5) or 
(mid([record-name],7,3) = 'Jun' and [screenlog_month] = 6) or 
(mid([record-name],7,3) = 'Jul' and [screenlog_month] = 7) or 
(mid([record-name],7,3) = 'Aug' and [screenlog_month] = 8) or
(mid([record-name],7,3) = 'Sep' and [screenlog_month] = 9) or 
(mid([record-name],7,3) = 'Oct' and [screenlog_month] = 10) or 
(mid([record-name],7,3) = 'Nov' and [screenlog_month] = 11) or 
(mid([record-name],7,3) = 'Dec' and [screenlog_month] = 12) 
), 1, 0), ''))"
screenlog_cur_date,screenlog,,text,"current date (calc to pipe @TODAY, seemingly prevents some issues in the app)",,,,,,,,,,,,,"Data Management
Miscellaneous
@HIDDEN @HIDDEN-PDF @TODAY"
screenlog_fut_date,screenlog,,text,"screening first date of selected month & year",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if([screenlog_month] <> '' and [screenlog_year] <> '',
concat([ref_id_arm2_yr], if( [ref_id_arm2_mo] < 10 , '-0', '-'),[ref_id_arm2_mo], '-', '01')
,'')
)"
screenlog_cur_num,screenlog,,text,"current date, numeric, yyyymm",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(concat(mid([screenlog_cur_date],1,4),mid([screenlog_cur_date],6,2)))"
screenlog_fut_num,screenlog,,text,"selected date, numeric, yyyymm",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(concat([ref_id_arm2_yr],if( [ref_id_arm2_mo] < 10 , '0', ''),[ref_id_arm2_mo]))"
screenlog_err_currentmo,screenlog,,descriptive,"<div style=""font-size: 110%; padding: 10px; color: #980015; border: 4px solid #980015; background-color: rgba(152, 0, 21, 0.1); text-align: center;"">Cannot enter screening log data for current month [screenlog_month] [screenlog_year] - data can only be entered after the end of the month.</div>",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] = [screenlog_fut_num]",,,,,,"Miscellaneous
@HIDDEN-PDF"
screenlog_err_futuremo,screenlog,,descriptive,"<div style=""font-size: 110%; padding: 10px; color: #980015; border: 4px solid #980015; background-color: rgba(152, 0, 21, 0.1); text-align: center;"">Cannot enter screening log data for future month [screenlog_month] [screenlog_year] - data can only be entered after the end of the month.</div>",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] < [screenlog_fut_num]",,,,,,"Miscellaneous
@HIDDEN-PDF"
screenlog_num_totalbirths,screenlog,"You should use the Baby Identification Log to help complete this form. ",text,"Total number of inborn live births (any gestation)",,,number,0,4000,,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Primary Outcome Not Primary Analysis
@FORCE-MINMAX"
screenlog_num_pretermlbw,screenlog,,text,"Total number of preterm and/or low birth weight births (less than 37 weeks and/or less than 2.5kg)",,,number,0,[screenlog_total_births],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_eligible,screenlog,,text,"Total number of babies eligible for inclusion",,,number,0,[screenlog_num_pretermlbw],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_indb,screenlog,,text,"Total number of babies entered into the NEWS-HEAT database",,,number,0,[screenlog_num_eligible],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_notindb_calc,screenlog,,calc,"Number of ineligible babies (calc)","[screenlog_num_totalbirths] - [screenlog_num_indb]",,,,,,,,,,,,"Derived
Data Management
@HIDDEN"
screenlog_num_congenital,screenlog,"Reason if not eligible OR not entered into the NEWS-HEAT database (number per reason)",text,"Congenital anomalies ",,,number,0,[screenlog_num_notindb],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_noprospect,screenlog,,text,"Babies born with no reasonable prospect of survival 
(e.g. < 24 weeks gestational age (GA), < 500g birthweight)",,,number,0,[screenlog_num_notindb],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_nostaff,screenlog,,text,"No staff available",,,number,0,[screenlog_num_notindb],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_forgot,screenlog,,text,"Staff forgot",,,number,0,[screenlog_num_notindb],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_num_other,screenlog,,text,"Other reasons",,{screenlog_num_other_specify_lbl}{screenlog_num_other_specify},number,0,[screenlog_num_notindb],,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num]",y,,,,,"Miscellaneous
@FORCE-MINMAX"
screenlog_sum_notindb_calc,screenlog,,calc,"Number of ineligible babies included below ""Reason if not eligible OR not entered into the NEWS-HEAT database (number per reason)"" (calc)","[screenlog_num_congenital] + [screenlog_num_noprospect] + [screenlog_num_nostaff] + [screenlog_num_forgot] + [screenlog_num_other]",,,,,,,,,,,,"Derived
Data Management
@HIDDEN"
screenlog_num_other_specify_lbl,screenlog,,descriptive,"Please specify:",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_num_other] > 0",,,,,,"Miscellaneous
@HIDDEN-PDF"
screenlog_num_other_specify,screenlog,,notes,"Other reasons: Please specify",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_num_other] > 0",y,,,,,Miscellaneous
screenlog_error_sum,screenlog,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: rgb(152, 0, 21);border: 4px solid  rgb(152, 0, 21); background-color:  rgba(152, 0, 21, 0.1)"">According to the data entered, the number of babies born but not entered into the NEWS-HEAT database is [screenlog_notindb_calc]. However, the numbers entered under ""Reason if not eligible OR not entered into the NEWS-HEAT database (number per reason)"" add up to [screenlog_sum_notindb_calc]. Please correct this discrepancy.</div>",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num] and [screenlog_num_totalbirths] <> '' and [screenlog_num_pretermlbw] <> '' and [screenlog_num_eligible] <> '' and [screenlog_num_indb] <> '' and [screenlog_num_congenital] <> '' and [screenlog_num_noprospect] <> '' and [screenlog_num_nostaff] <> '' and [screenlog_num_forgot] <> '' and [screenlog_num_other] <> '' and [screenlog_notindb_calc] <> [screenlog_sum_notindb_calc]",,,,,,"Miscellaneous
@HIDDEN-PDF"
screenlog_error_missing,screenlog,,descriptive,"<div style=""font-size: 120%; text-align: center; padding: 10px; color: rgb(152, 0, 21);border: 4px solid  rgb(152, 0, 21); background-color:  rgba(152, 0, 21, 0.1)"">Please ensure all fields are completed so that validity of the numbers entered can be checked.</div>",,,,,,,"[ref_id_arm2_valid] = '1' and [screenlog_cur_num] > [screenlog_fut_num] and ([screenlog_num_totalbirths] = '' or [screenlog_num_pretermlbw] = '' or [screenlog_num_eligible] = '' or [screenlog_num_indb] = '' or [screenlog_num_congenital] = '' or [screenlog_num_noprospect] = '' or [screenlog_num_nostaff] = '' or [screenlog_num_forgot] = '' or [screenlog_num_other] = '')",,,,,,"Miscellaneous
@HIDDEN-PDF"
arm3_site_shortlabel,site_rand,,text,"Site Label (shortened)",,,,,,,,y,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(
find (' (', [record-dag-label]) <> 0,
left([record-dag-label],find (' (', [record-dag-label])-1),
[record-dag-label])
)"
ref_id_arm3_dag_pfx,site_rand,,text,"Reference Number - DAG Prefix",,,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(left([record-dag-label], 2)='' and [site_rand_complete] = '',
    left([user-dag-label],2),
    left([record-dag-label],2)
)
)"
ref_id_arm3_valid,site_rand,,calc,"Reference Number is valid?","if(
    length([ref_id]) = 2 and [ref_id] = left([record-dag-label], 2),
    1,
    0
)",,,,,,,,,,,,"Derived
Data Management
@HIDDEN @HIDDEN-PDF"
ref_id_arm3_err,site_rand,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the record must be assigned to a data access group/site and the Reference Number must follow the correct format, e.g.: 01</h5> </div> ",,,,,,,"[record-dag-name] = ''",,,,,,"Miscellaneous
@HIDDEN-PDF"
ref_id_arm3_err_format,site_rand,,descriptive,"<div style=""text-align: center; color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1); padding: 10px;""> <h5 style=""font-weight: 900;"">Sorry, the Reference Number does not follow the correct format, e.g.: [ref_id_arm3_dag_pfx].</h5> </div> ",,,,,,,"[record-dag-name] <> '' and [ref_id_arm3_valid] = '0'",,,,,,"Miscellaneous
@HIDDEN-PDF"
site_rand_version,site_rand,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Miscellaneous
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
site_rand_title,site_rand,,descriptive,"<h2 class=""h4"" style=""text-align: center;"">[arm3_site_shortlabel] - Randomisation</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
site_rand_email,site_rand,,text,"Where to send confirmation email",,"Used to send randomisation confirmation email post-randomisation",email,,,y,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @SETVALUE='[user-email]' @NOMISSING @READONLY"
site_rand_min_births,site_rand,,text,"Number of births per year/per labour ward and maternity theatre",,,integer,1,100000,,"[ref_id_arm3_valid] = '1'",y,,,,,"Randomisation
Demographics
@NOMISSING @FORCE-MINMAX
 // Randomisation minimisation factor - should not be blank nor editable by site"
site_rand_min_hosplevel,site_rand,,radio,"Hospital level (Health system level of the facility)","4, 4 | 5, 5 | 6, 6",,,,,,"[ref_id_arm3_valid] = '1'",y,,,,,"Randomisation
Demographics
@NOMISSING
// Randomisation minimisation factor - should not be blank nor editable by site"
site_rand_grp,site_rand,,radio,"Randomisation group","eenc_only, EENC only | eenc_plus_news_heat_care_bundle, EENC plus NEWS-HEAT care bundle",,,,,y,"[ref_id_arm3_valid] = '1'",y,,,,,"Randomisation
Unblinding
@NOMISSING"
site_rand_grp_fake,site_rand,,radio,"Randomisation group (fake randomization allocation
e.g. for blinded extracts)","eenc_only, EENC only | eenc_plus_news_heat_care_bundle, EENC plus NEWS-HEAT care bundle",,,,,,"[ref_id_arm3_valid] = '1'",,,,,,"Randomisation
@NOMISSING
@HIDDEN @HIDDEN-PDF @READONLY"
site_rand_diagnostics,site_rand,,notes,"Randomisation diagnostics (diagnostic output for the randomization)",,,,,,y,"[ref_id_arm3_valid] = '1'",,,,,,"Randomisation
Unblinding
@NOMISSING
@HIDDEN @HIDDEN-PDF @READONLY"
site_rand_datetime,site_rand,,text,"Date/Time of Randomisation",,,datetime_dmy,,now,,"[site_rand_grp] <> ''",y,,,,,"Randomisation
@READONLY @NOMISSING @HIDDEN-APP"
site_rand_date,site_rand,,text,"Date of Randomisation",,,date_dmy,,,,"[site_rand_grp] <> ''",,,,,,"Randomisation
@READONLY @NOMISSING @HIDDEN-APP
@HIDDEN @HIDDEN-PDF @CALCTEXT(left([site_rand_datetime],10))"
site_rand_time,site_rand,,text,"Time of Randomisation",,,time,,,,"[site_rand_grp] <> ''",,,,,,"Randomisation
@READONLY @NOMISSING @HIDDEN-APP
@HIDDEN @HIDDEN-PDF @CALCTEXT(right([site_rand_datetime],5))"
site_rand_curr_view_is_app,site_rand,,text,"Custom field to discern if this form is being viewed in the REDCap Mobile App
(Uses javascript injector module to set value to false)",,,,,,,,y,,,,,"Miscellaneous
Data Management
@SETVALUE='1' @HIDDEN-PDF @HIDDEN"
site_rand_datetime_app,site_rand,,descriptive,"Date/Time of Randomisation: [site_rand_datetime]",,,,,,,"[site_rand_grp] <> '' and [site_rand_curr_view_is_app] = '1'",,,,,,"Miscellaneous
// For display on the app, as the rand date/time field doesn't display in a nice way on the mobile app (can't remember if it allows the value to be edited or if it just shows the buttons even though it's supposed to be readonly/noneditable)
@HIDDEN-PDF"
site_phase_version,site_phase_dates_addtl_info,,dropdown,"Form Version","1.0, v1.0 27-May-2025",,,,,,,,,,,,"Miscellaneous
@HIDDEN @DEFAULT='1.0' @NOMISSING @SAVE-PROMPT-EXEMPT-WHEN-AUTOSET"
site_phase_app_lasteditedby,site_phase_dates_addtl_info,,text,"REDCap Mobile App - Last Edited By",,,,,,,,,,,,,"Data Management
@HIDDEN @HIDDEN-PDF @READONLY @APPUSERNAME-APP"
site_phase_title,site_phase_dates_addtl_info,,descriptive,"<h2 class=""h4"" style=""text-align: center;"">[arm3_site_shortlabel] - Phase Dates</h2>",,,,,,,,,,,,,"Miscellaneous
@HIDDEN-PDF"
site_curr_email,site_phase_dates_addtl_info,,text,"Current user's email address (If edits trigger an automated notification, this email will be CC'd)",,,,,,,,,,,,," @SETVALUE='[user-email]' @READONLY @NOMISSING @HIDDEN @HIDDEN-PDF"
site_dag_label_calc,site_phase_dates_addtl_info,,text,"Site DAG Label (Calculated - What it will be after this form is saved)",,,,,,y,,,,,,,"Derived
Data Management
Unblinding
@HIDDEN @HIDDEN-PDF @CALCTEXT(
if(
    [site_details_arm_3][site_phase_3b_start_date] <> '',
    concat([site_details_arm_3][arm3_site_shortlabel],' (',
    'Imp. start: ',
    if(left(day([site_details_arm_3][site_phase_3b_start_date]),1) = '0',right(day([site_details_arm_3][site_phase_3b_start_date]),1),day([site_details_arm_3][site_phase_3b_start_date])),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '01' or month([site_details_arm_3][site_phase_3b_start_date]) = '1',' Jan ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '02' or month([site_details_arm_3][site_phase_3b_start_date]) = '2',' Feb ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '03' or month([site_details_arm_3][site_phase_3b_start_date]) = '3',' Mar ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '04' or month([site_details_arm_3][site_phase_3b_start_date]) = '4',' Apr ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '05' or month([site_details_arm_3][site_phase_3b_start_date]) = '5',' May ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '06' or month([site_details_arm_3][site_phase_3b_start_date]) = '6',' Jun ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '07' or month([site_details_arm_3][site_phase_3b_start_date]) = '7',' Jul ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '08' or month([site_details_arm_3][site_phase_3b_start_date]) = '8',' Aug ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '09' or month([site_details_arm_3][site_phase_3b_start_date]) = '9',' Sep ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '10',' Oct ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '11',' Nov ',''),
    if(month([site_details_arm_3][site_phase_3b_start_date]) = '12',' Dec ',''),
    year([site_details_arm_3][site_phase_3b_start_date]),')'),
    [site_details_arm_3][arm3_site_shortlabel]
)
)"
site_dag_label_curr,site_phase_dates_addtl_info,,text,"Site DAG Label (Current - What it is at time of opening this form)",,,,,,y,,,,,,,"Derived
Data Management
Unblinding
@HIDDEN @HIDDEN-PDF @CALCTEXT([record-dag-label])"
site_dag_name,site_phase_dates_addtl_info,,text,"Record DAG Name (Used in API Client Connection to update DAG name)",,,,,,,,,,,,,"Derived
Data Management
Unblinding
@HIDDEN @HIDDEN-PDF @CALCTEXT([record-dag-name])"
site_phase_1_start_date,site_phase_dates_addtl_info,,text,"<p>Start Date:<span style=""font-weight: normal;""> PHASE 1 (2 months)
<em>Baseline control phase for all facilities</em></span></p>",,,date_dmy,2025-01-01,,,,y,,,,,"Data Management
@NOMISSING @FORCE-MINMAX @HIDEBUTTON"
site_phase_2_start_date,site_phase_dates_addtl_info,,text,"<p>Start Date:<span style=""font-weight: normal;""> PHASE 2 (1 month)
<em>Early essential newborn care (EENC) training and roll-out for all facilities, followed by randomisation</em></span></p>",,,date_dmy,[site_phase_1_start_date],[site_rand_date],,,y,,,,,"Data Management
@NOMISSING @FORCE-MINMAX @HIDEBUTTON"
site_phase_3a_start_date,site_phase_dates_addtl_info,,text,"<p>Start Date:<span style=""font-weight: normal;""> PHASE 3A (2 months)
<em>Continuation of EENC provision plus NEWS-HEAT care bundle training and roll-out</em></span></p>",,,date_dmy,[site_rand_date],[site_phase_3b_start_date],,"[site_rand_grp] = 'eenc_plus_news_heat_care_bundle'",y,,,,,"Data Management
@NOMISSING @FORCE-MINMAX @HIDEBUTTON"
site_phase_3b_start_date,site_phase_dates_addtl_info,,text,"<p>Start Date: <span style=""font-weight: normal;"">PHASE 3B (3 months)</span>
<em><span style=""font-weight: normal;"">EENC + NEWS-HEAT care bundle provision</span></em></p>",,,date_dmy,[site_phase_3a_start_date],2035-01-01,,"[site_rand_grp] = 'eenc_plus_news_heat_care_bundle'",y,,,,,"Data Management
@NOMISSING @FORCE-MINMAX @HIDEBUTTON"
site_phase_curr_view_is_app,site_phase_dates_addtl_info,,text,"Custom field to discern if this form is being viewed in the REDCap Mobile App
(Uses javascript injector module to set value to false)",,,,,,,,y,,,,,"Miscellaneous
Data Management
@SETVALUE='1' @HIDDEN-PDF @HIDDEN"
site_phase_3b_app_bug_warn,site_phase_dates_addtl_info,,descriptive,"<div style=""text-align:center;padding:10px;color:rgb(0, 85, 149);border:4px solid  rgb(0, 85, 149);background-color: rgba(0, 85, 149, 0.1)""><span style=""font-size:120%;"">BUG NOTIFICATION</span><p style=""font-weight:normal;"">If you've <strong>not</strong> updated the PHASE 3B start date, but are seeing a warning message below related to steps that have to be taken when/if updating the PHASE 3B start date from within the app, you can safely ignore it. There's a bug on the REDCap Mobile App causing this issue, but the team that develops the app are aware and are working on it.</p></div>",,,,,,,"[site_phase_curr_view_is_app] = '1' and [site_dag_label_curr] <> [site_dag_label_calc] and [site_rand_grp] = 'eenc_plus_news_heat_care_bundle'",,,,,,"Miscellaneous
@HIDDEN-PDF"
site_phase_3b_update_warn_notsite,site_phase_dates_addtl_info,,descriptive,"<div style=""text-align:center;padding:10px;color: #980015; border: 4px solid  #980015; background-color: rgba(152, 0, 21, 0.1);""><span style=""font-size:120%;"">IMPORTANT</span><p>If the PHASE 3B start date is updated, then the REDCap Mobile App's project setup and data will need to be updated as soon as possible.</p><p style=""font-weight:normal;"">Please ensure that a notification is sent to the site letting them know to do this ASAP, and direct them to the following page for further guidance/instructions: <a href=""[redcap-version-url]index.php?pid=[project-id]&route=ProjectDashController:view&dash_id=15"">REDCap Mobile App Guidance
</a></p></div>",,,,,,,"[site_dag_label_curr] = [site_dag_label_calc] and [user-dag-label] = '' and [site_rand_grp] = 'eenc_plus_news_heat_care_bundle'",,,,,,"Miscellaneous
@HIDDEN-PDF @HIDDEN-APP"
